F1,id,neighbourhood,latitude,longitude,room_type,price,days_occupied_in_2019,minimum_nights,number_of_reviews,reviews_per_month,availability_2020
4064,2936517,44,40.68322,-73.98968,2,186,204,30,192,2.82,325
1955,949713,44,40.6745,-73.99582,2,400,257,30,31,0.38,81
5770,4509560,50,40.73505,-73.98212,2,140,0,30,9,0.15,285
7305,5940920,50,40.73536,-73.98393,2,209,26,30,28,0.5,162
17143,14366544,50,40.73486,-73.98611,2,179,31,30,4,0.1,63
5924,4621217,50,40.73346,-73.98216,2,140,59,30,7,0.12,350
15209,13077215,50,40.7382,-73.98301,2,245,248,30,1,0.08,75
11474,9473889,27,40.59592,-73.97523,2,85,57,30,9,0.19,83
29549,25005483,163,40.54639,-74.13706,2,180,16,30,9,0.55,348
3189,2075453,89,40.72532,-73.93992,2,199,0,30,8,0.13,178
5507,4295603,89,40.7255,-73.9409,2,129,0,30,1,0.02,190
6741,5278927,89,40.72546,-73.94046,2,129,0,30,8,0.15,308
3547,2314553,89,40.72727,-73.93986,2,129,0,30,5,0.12,330
3397,2214710,89,40.72572,-73.94031,2,159,0,30,1,0.73,339
3280,2126576,89,40.72552,-73.94195,2,199,0,30,4,0.06,339
6865,5414471,89,40.72533,-73.94014,2,129,0,30,2,0.11,340
3667,2466770,89,40.72574,-73.94146,2,129,0,30,5,0.08,352
4133,3038797,89,40.7276,-73.94029,2,129,0,30,5,0.09,356
3983,2845257,89,40.72733,-73.9404,2,199,0,30,7,0.11,358
3486,2267006,89,40.72537,-73.94076,2,149,0,30,1,0.57,365
