F1,id,neighbourhood,latitude,longitude,room_type,price,days_occupied_in_2019,minimum_nights,number_of_reviews,reviews_per_month,availability_2020
0,2595,146,40.75362,-73.98377,2,225,15,10,48,0.39,1
1,3831,111,40.68514,-73.95976,2,89,188,1,295,4.67,1
2,5099,12,40.74767,-73.975,2,200,362,3,78,0.6,19
3,5121,154,40.68688,-73.95596,1,60,0,29,49,0.38,365
4,5178,12,40.76489,-73.98493,1,79,141,2,454,3.52,242
6,5238,106,40.71344,-73.99037,2,150,86,1,161,1.29,1
7,5441,12,40.76076,-73.98867,1,85,323,3,204,1.56,10
8,5803,112,40.66829,-73.98779,1,89,12,4,175,1.35,0
9,6090,12,40.7353,-74.00525,2,120,226,180,27,0.22,271
10,6848,126,40.70837,-73.95352,2,140,319,2,170,1.33,0
11,7097,111,40.69169,-73.97185,2,199,15,1,215,1.79,0
13,7726,111,40.67592,-73.94694,2,99,172,3,75,4.43,63
15,7801,111,40.71842,-73.95718,2,299,14,3,9,0.07,1
16,8024,112,40.68069,-73.97706,1,115,4,1,143,1.15,0
17,8025,111,40.67989,-73.97798,1,80,4,1,41,0.37,150
18,8110,111,40.68001,-73.97865,1,32,15,2,77,0.64,0
19,8490,111,40.68371,-73.94028,2,120,63,2,105,0.84,296
20,8505,111,40.65599,-73.97519,1,60,289,1,23,1.22,78
22,9518,12,40.86482,-73.92106,1,44,12,3,114,1.12,353
23,9657,174,40.7292,-73.98542,2,180,30,10,33,0.26,86
24,9668,65,40.82245,-73.95104,1,50,17,3,256,2.07,361
25,9704,65,40.81305,-73.95466,1,52,145,2,97,1.45,326
27,9783,120,40.8213,-73.95318,1,50,13,3,286,2.37,1
28,10452,111,40.6831,-73.95473,1,70,115,1,75,0.64,251
29,10962,111,40.66869,-73.9878,1,89,26,4,177,1.43,349
31,11708,55,40.70186,-73.92745,2,85,301,2,253,2.06,43
33,12048,106,40.71401,-73.98917,3,40,76,1,219,1.78,0
34,12192,114,40.7229,-73.98199,1,68,297,2,258,2.1,62
35,12318,12,40.79009,-73.97927,1,135,93,4,89,0.73,287
36,12343,12,40.81175,-73.94478,2,150,91,7,106,0.88,1
37,12627,68,40.65944,-73.96238,2,150,211,29,12,0.44,61
38,12937,132,40.74771,-73.9474,1,130,97,2,269,2.33,189
39,12940,66,40.68111,-73.95591,2,110,301,7,64,0.53,339
40,13050,111,40.68554,-73.9409,2,120,268,3,12,0.1,0
41,13394,165,40.69142,-73.97376,1,80,28,3,142,1.17,281
42,13808,154,40.68043,-73.93934,1,80,172,1,135,1.17,223
43,14287,157,40.78635,-73.97008,2,151,60,3,86,0.71,56
44,14290,126,40.7042,-73.9356,2,228,205,3,88,0.72,170
45,14314,89,40.73506,-73.95392,2,149,133,2,366,3.01,269
46,14322,80,40.73961,-73.98074,2,200,137,7,19,0.2,324
47,14377,126,40.70881,-73.9593,2,150,360,30,111,0.91,0
48,14468,12,40.74354,-73.98122,1,85,90,3,20,0.71,310
49,14991,12,40.72004,-73.99104,1,110,13,5,19,0.16,323
50,15220,115,40.75531,-73.99293,1,69,89,2,311,2.57,1
51,15338,111,40.72401,-73.93788,1,49,24,4,146,1.21,353
52,15341,12,40.7221,-73.99775,2,180,267,14,25,0.33,11
53,15385,126,40.71185,-73.96204,1,90,33,2,46,0.4,221
56,15729,111,40.67695,-74.01121,1,89,26,12,25,0.22,1
57,16326,111,40.67811,-73.96428,2,200,182,30,147,1.31,335
58,16338,66,40.69,-73.96788,1,45,85,7,27,0.22,240
59,16421,146,40.75979,-73.99119,1,52,142,30,193,1.59,235
61,16580,174,40.72649,-73.97904,1,80,242,1,379,4.95,136
62,16595,111,40.70933,-73.96792,2,250,3,1,163,1.47,363
63,16821,114,40.72298,-73.98474,1,99,18,1,113,1.27,356
64,16974,15,40.80164,-73.93922,2,225,155,4,206,1.7,0
66,17092,115,40.76342,-73.98865,1,51,121,5,27,0.47,116
67,17693,12,40.83139,-73.94095,1,65,29,2,59,1.66,358
68,17747,66,40.68346,-73.96374,1,105,115,2,124,1.04,0
69,18127,12,40.72828,-73.98801,2,170,113,5,21,0.19,333
70,18195,122,40.7459,-73.90764,1,90,55,7,20,0.17,143
71,18590,165,40.6932,-73.97267,1,95,219,3,150,1.28,0
72,18728,18,40.74138,-74.00197,1,150,74,4,180,1.69,296
73,18764,126,40.71154,-73.96112,1,145,54,3,63,0.53,324
74,19159,65,40.82915,-73.95136,2,110,65,31,55,0.48,190
75,19169,106,40.71851,-73.98892,2,285,111,5,76,0.64,1
76,19282,68,40.65401,-73.96323,2,130,362,6,17,0.15,94
77,19601,90,40.69723,-73.99268,2,2000,211,1,25,0.23,93
78,19812,111,40.71833,-73.95748,2,105,62,3,61,0.51,295
79,20299,12,40.72334,-73.9844,1,60,300,3,208,1.78,67
81,20611,111,40.71156,-73.96218,1,85,40,3,190,1.61,1
82,20717,138,40.67832,-73.97243,1,85,11,1,32,0.43,331
83,20724,55,40.70032,-73.9383,1,65,29,5,30,0.33,280
84,20734,111,40.68233,-73.97261,2,135,312,3,186,3.46,0
85,20755,66,40.68634,-73.966,1,98,25,7,18,0.21,342
86,20853,111,40.68035,-73.97162,2,250,311,21,23,0.31,158
87,21293,111,40.70093,-73.92609,2,105,302,3,131,1.11,0
88,21456,157,40.79764,-73.96177,2,140,117,30,82,0.69,320
89,21644,12,40.82803,-73.94731,1,89,0,1,3,0.21,365
90,21794,67,40.74008,-74.00271,1,111,6,7,35,0.3,343
91,22911,154,40.68413,-73.92357,2,125,115,7,139,1.18,230
92,23135,16,40.67967,-74.00154,2,175,7,2,254,2.18,348
93,23686,22,40.73096,-74.00319,2,500,118,5,48,0.54,253
94,24143,111,40.71332,-73.94177,1,101,46,3,344,2.97,153
95,24285,111,40.66941,-73.98109,2,220,44,30,88,0.76,9
96,25235,154,40.68373,-73.92377,2,125,138,5,167,1.44,1
97,25406,126,40.71459,-73.94844,2,80,7,30,29,0.37,0
98,25696,12,40.8092,-73.94421,1,100,30,2,188,1.7,343
99,26012,44,40.68157,-73.98989,2,200,323,30,20,0.2,64
100,26362,146,40.75527,-73.99291,1,59,59,2,357,3.07,310
101,26520,111,40.68698,-73.96572,1,125,84,2,26,0.25,352
102,26559,12,40.7288,-73.98192,2,140,50,7,12,0.12,157
103,26785,112,40.66853,-73.98912,2,120,57,30,469,4.06,0
105,26969,126,40.71942,-73.95748,2,325,266,3,341,3.03,154
106,27385,174,40.72555,-73.97965,2,225,47,1,123,1.07,340
107,27531,112,40.66831,-73.98604,1,99,294,2,360,3.11,0
108,27644,120,40.82754,-73.94919,2,170,13,2,207,2.05,348
109,27659,111,40.66499,-73.97925,2,400,45,2,16,0.22,331
110,27759,12,40.77842,-73.97556,2,170,275,7,18,0.16,97
112,28321,74,40.65593,-73.96053,1,75,4,2,9,0.08,355
113,28907,12,40.778,-73.94822,2,150,364,5,21,0.18,1
114,29013,154,40.68332,-73.9547,1,70,73,3,63,0.55,260
115,29455,12,40.81618,-73.94894,2,120,75,30,162,1.42,296
116,29628,111,40.68414,-73.96351,1,89,38,3,276,2.39,306
118,31130,12,40.76754,-73.98399,1,130,24,30,60,0.52,318
119,31902,144,40.63188,-73.93248,1,77,187,2,4,0.03,178
120,31994,66,40.6873,-73.9634,1,76,53,2,442,3.86,0
121,32023,111,40.68296,-73.93662,2,125,142,3,253,2.22,239
122,32037,111,40.6863,-73.96765,1,135,4,4,90,0.79,356
123,32100,89,40.73409,-73.95348,2,250,302,29,3,0.03,156
124,32289,111,40.71561,-73.94835,2,199,165,3,10,0.09,30
125,32329,12,40.72895,-73.98377,2,160,13,14,3,0.03,349
127,32363,133,40.74028,-73.83168,1,140,242,2,1,0.01,63
128,32965,154,40.68281,-73.93524,2,115,132,3,136,1.76,225
129,32969,111,40.71596,-73.93938,2,160,31,3,11,0.11,206
130,33009,111,40.71492,-73.95935,2,195,26,4,249,2.17,290
131,33223,126,40.71165,-73.96087,1,80,40,3,213,1.89,316
132,34760,165,40.69101,-73.97312,1,44,51,8,28,0.91,0
133,36121,111,40.67386,-73.96641,1,85,140,15,9,0.08,349
135,36442,111,40.6741,-73.96595,2,115,47,15,4,0.05,307
136,36647,65,40.79295,-73.93997,1,69,177,2,34,0.3,0
137,36703,12,40.73226,-74.00401,2,225,6,45,135,1.19,350
138,36934,111,40.71363,-73.96398,2,125,116,6,27,0.24,324
140,38638,12,40.77711,-73.9527,2,219,51,4,132,1.16,216
141,38663,111,40.68559,-73.98094,2,475,28,3,23,0.25,195
142,39267,73,40.77456,-73.95323,2,99,148,1,252,2.65,158
143,39282,111,40.71088,-73.95055,1,69,210,4,211,1.85,70
144,39572,115,40.76233,-73.98854,1,119,13,3,44,0.39,307
146,39593,63,40.74559,-73.92313,1,79,361,30,28,0.25,105
147,39704,154,40.68306,-73.94659,2,135,355,2,334,2.95,2
148,40039,56,40.70207,-73.98571,1,250,41,3,14,0.12,333
150,41348,44,40.66858,-73.99083,2,250,161,2,150,2.73,1
152,42580,111,40.68843,-73.96408,1,70,16,2,317,3.54,0
153,42729,16,40.6783,-74.00135,2,165,16,2,167,1.49,363
154,42882,58,40.64524,-74.08088,1,70,46,2,173,1.65,323
156,43957,55,40.70641,-73.91765,1,50,302,2,71,1.29,52
157,44096,100,40.83232,-73.93184,1,45,7,1,262,2.33,351
158,44161,111,40.71045,-73.9677,2,150,60,2,193,1.7,1
159,44212,174,40.72518,-73.98034,1,125,36,1,94,0.83,346
160,44229,165,40.69098,-73.97113,1,110,14,2,228,2.04,353
161,44288,22,40.73756,-74.00405,2,170,57,3,88,0.78,340
163,44506,12,40.81526,-73.94791,2,165,107,30,91,0.81,209
164,45393,12,40.73423,-74.0046,2,150,348,26,38,0.34,303
165,45542,12,40.82374,-73.9373,2,100,362,2,18,1.2,0
166,45556,165,40.68863,-73.97691,1,65,197,2,241,2.15,0
167,45910,143,40.70382,-73.89797,2,350,0,4,13,0.13,365
169,45936,12,40.80549,-73.95924,1,99,21,4,126,1.16,357
170,45940,111,40.71627,-73.9587,2,200,3,1,35,0.56,13
171,46544,111,40.67994,-73.97863,2,150,297,4,55,0.5,32
172,46723,111,40.67992,-73.9475,1,90,6,3,130,1.16,362
173,46911,111,40.67868,-73.97307,1,120,159,3,51,0.46,197
174,47199,12,40.76834,-73.95334,1,75,28,3,219,1.94,344
175,47362,154,40.68237,-73.9415,2,175,0,26,30,0.27,365
177,48719,106,40.71882,-73.98852,2,299,301,30,116,1.06,10
178,50447,111,40.6693,-73.98804,2,135,228,5,162,1.47,177
180,51572,67,40.74859,-73.99671,1,123,23,1,391,3.51,0
181,51850,123,40.67252,-73.76597,1,55,29,2,53,0.48,307
182,53137,12,40.76244,-73.99271,2,195,145,5,10,0.67,1
184,53469,122,40.71722,-73.87856,2,98,0,7,33,0.3,321
185,53470,122,40.70234,-73.89816,1,160,0,4,6,0.06,365
186,53477,26,40.71546,-73.87854,2,265,0,7,39,0.37,365
187,54453,12,40.76548,-73.98474,3,105,2,6,10,0.09,363
189,54508,138,40.6787,-73.97262,1,100,124,2,284,2.55,1
190,54544,12,40.81035,-73.94598,2,121,43,1,119,1.1,329
191,54626,100,40.83075,-73.93058,1,50,8,1,173,1.72,0
192,54860,15,40.79958,-73.94275,1,100,141,5,223,2.01,206
193,55467,126,40.71625,-73.93845,2,140,257,2,273,3.09,112
195,55668,12,40.72773,-73.99134,1,130,284,2,115,1.11,63
196,55959,126,40.70979,-73.95162,1,69,196,4,86,1.11,67
197,55982,165,40.68656,-73.97525,1,68,361,3,37,0.33,0
198,56467,174,40.72752,-73.98432,2,130,197,1,223,2.12,98
199,56859,65,40.81219,-73.94499,1,64,22,1,203,1.86,328
201,57297,173,40.68926,-73.99386,2,159,11,2,234,2.14,340
202,57468,12,40.72821,-73.98701,2,189,333,3,205,1.87,0
203,57618,115,40.7672,-73.98508,2,250,333,3,101,0.98,0
204,57740,12,40.73012,-73.99053,2,239,13,4,7,0.06,353
205,57754,12,40.7403,-73.98498,2,305,49,2,114,1.1,314
207,58059,65,40.8251,-73.94287,1,60,178,1,491,4.68,286
208,58062,112,40.6585,-73.98397,1,135,150,2,23,0.27,226
209,58467,64,40.76193,-73.9501,1,120,7,7,21,0.34,307
210,59014,12,40.72052,-73.98589,2,150,27,3,50,0.46,264
211,59121,122,40.70411,-73.89934,2,145,0,4,2,0.02,358
212,59855,12,40.7589,-73.96991,2,250,207,30,82,0.75,0
213,60164,6,40.72003,-74.00262,2,500,235,4,103,1.03,354
215,60611,15,40.79163,-73.94573,2,130,14,28,187,1.78,1
216,60666,65,40.8118,-73.94434,1,92,22,1,205,1.89,325
217,60673,12,40.81583,-73.94707,1,175,0,2,3,0.21,365
218,60680,12,40.72654,-73.98049,2,99,16,4,144,1.32,330
220,60948,15,40.80942,-73.93936,2,140,130,30,147,1.35,225
223,61492,106,40.71445,-73.9908,1,125,14,4,178,1.78,350
225,62427,12,40.7268,-73.99079,2,135,361,4,60,0.59,11
226,62430,111,40.688,-73.9171,2,99,289,3,123,2.16,34
227,62452,58,40.63536,-74.08537,1,38,23,2,204,1.87,0
228,62461,86,40.63627,-74.08543,1,38,40,2,155,1.45,354
229,62465,174,40.72763,-73.9835,1,129,11,5,86,1.33,348
230,62787,86,40.63518,-74.08546,1,37,31,2,190,1.75,348
231,62891,114,40.72477,-73.98161,2,175,36,3,194,1.78,257
232,62903,67,40.74238,-73.99567,2,205,313,6,66,0.71,79
233,62925,89,40.72945,-73.95511,2,285,19,3,126,1.18,339
234,63299,111,40.70763,-73.95177,1,59,344,2,205,1.91,35
235,63320,58,40.63481,-74.08519,1,38,25,2,386,3.53,347
236,63360,122,40.75384,-73.91433,2,99,34,5,457,4.43,315
237,63546,111,40.64106,-73.97426,1,39,0,1,46,0.44,365
240,63610,156,40.88057,-73.83572,2,105,19,2,41,0.51,347
241,63657,111,40.68236,-73.94314,2,135,342,2,266,2.45,3
243,63719,111,40.68503,-73.95385,1,70,57,3,37,0.4,216
245,64000,126,40.7069,-73.95467,1,60,1,29,14,0.13,1
247,64107,111,40.6778,-73.94339,1,100,13,3,304,2.8,354
248,64277,154,40.68317,-73.94701,1,70,27,4,18,0.21,364
249,64314,175,40.6761,-73.9529,1,110,0,6,109,1.0,365
250,64365,111,40.67586,-73.95155,1,60,29,2,241,2.3,332
251,64837,174,40.72321,-73.98157,1,68,303,2,211,1.94,21
253,65268,154,40.68276,-73.95264,1,75,230,5,64,0.64,218
255,65562,174,40.72956,-73.98158,2,129,27,7,5,0.13,219
256,65615,126,40.71069,-73.95175,2,130,295,10,53,0.49,33
257,65660,126,40.70863,-73.94641,2,95,284,4,149,1.37,74
258,65813,120,40.82888,-73.94307,1,75,7,3,20,0.24,337
259,65834,111,40.67319,-73.97323,2,175,264,2,11,0.1,7
260,66008,111,40.67846,-73.99443,2,190,20,3,59,0.63,322
261,66251,12,40.72681,-73.98534,2,212,308,3,81,1.44,71
262,66275,106,40.71904,-73.99392,1,95,27,1,130,1.26,340
263,66718,65,40.81322,-73.95306,2,135,167,6,200,1.9,1
264,66741,112,40.67732,-73.98225,2,150,64,2,238,2.21,0
265,66974,111,40.68076,-73.9896,2,190,77,3,76,0.83,327
267,67288,65,40.79603,-73.94903,2,124,70,28,25,0.28,137
268,67299,126,40.71492,-73.96282,2,135,282,30,58,0.55,85
269,67397,46,40.80393,-73.95838,1,122,25,3,109,1.04,0
270,68099,12,40.80082,-73.9652,1,109,18,1,112,1.08,365
272,68403,154,40.683,-73.91981,2,145,297,3,140,1.32,73
273,68735,12,40.78971,-73.9729,2,195,41,11,32,0.32,318
274,68765,111,40.67817,-73.99495,2,250,120,2,126,1.49,0
275,68974,76,40.71943,-73.99627,2,575,41,2,209,1.96,329
277,69894,12,40.78,-73.98249,2,150,335,30,49,0.53,0
278,70095,12,40.86713,-73.92811,1,90,216,2,129,1.29,0
279,70128,12,40.73198,-73.98881,1,65,248,31,53,0.6,0
280,70279,93,40.67714,-74.0113,2,185,3,14,64,0.61,364
281,70609,174,40.72542,-73.97986,2,500,47,2,53,0.5,1
282,71010,12,40.83494,-73.93869,2,265,12,3,34,0.43,328
283,71248,12,40.71659,-73.98945,2,125,198,25,46,0.43,93
284,71366,12,40.72966,-74.00243,2,200,159,30,41,0.44,94
286,71812,32,40.87207,-73.90193,2,92,210,8,6,0.36,186
287,72190,157,40.77728,-73.97818,2,110,314,13,38,0.37,0
288,72265,89,40.72646,-73.95341,1,59,304,3,32,0.38,73
289,74073,111,40.71015,-73.96101,2,195,305,3,81,0.79,136
290,74240,111,40.71903,-73.9597,2,169,115,1,69,0.65,82
292,74680,122,40.77635,-73.93426,2,115,41,2,219,2.12,0
295,75193,111,40.71398,-73.95763,1,69,317,2,244,2.29,0
296,75635,106,40.71876,-73.98394,2,150,174,3,311,2.91,1
297,76761,112,40.66552,-73.99019,2,169,211,2,420,3.99,0
298,77765,111,40.73749,-73.95292,0,179,9,3,38,0.36,19
299,77936,12,40.76248,-73.9913,1,150,296,3,46,0.44,150
301,79782,126,40.70495,-73.95436,1,120,10,20,80,0.76,265
302,80493,174,40.72329,-73.98486,1,75,139,2,192,1.82,327
303,80684,89,40.73776,-73.95327,0,349,9,3,8,0.08,17
304,80700,89,40.73738,-73.95482,1,349,6,3,7,0.07,22
305,80924,111,40.67542,-73.98142,2,165,84,30,35,0.49,291
306,81739,111,40.73842,-73.95312,1,249,9,3,2,0.02,22
308,82550,111,40.69441,-73.99771,2,200,245,3,90,0.91,88
309,82638,114,40.72399,-73.98374,2,169,55,3,258,2.46,321
310,82928,111,40.6824,-73.94615,2,185,26,3,66,1.38,300
312,83446,111,40.68819,-73.97258,2,130,257,35,6,0.06,0
313,83847,114,40.72451,-73.98094,2,225,358,2,36,0.34,72
314,84010,111,40.73813,-73.95394,0,179,9,3,16,0.16,22
316,84659,174,40.72843,-73.98895,2,159,314,1,416,3.96,200
317,84905,12,40.71271,-73.99776,1,95,290,3,239,2.27,69
318,85094,175,40.66966,-73.94735,2,79,219,15,12,0.11,150
319,86215,106,40.71965,-73.98766,2,199,200,2,162,1.54,137
320,87279,12,40.80783,-73.93878,1,69,18,1,127,1.21,356
321,89621,154,40.68048,-73.94911,2,90,13,3,234,2.31,354
322,93313,154,40.68314,-73.93963,2,120,51,2,88,0.84,312
323,94035,122,40.75961,-73.91117,1,80,15,1,48,1.2,356
325,94477,154,40.69305,-73.93185,2,175,92,2,395,3.8,157
326,94783,111,40.67174,-73.95663,2,120,20,5,108,1.03,337
327,95747,126,40.71055,-73.95098,2,140,27,7,13,0.12,63
328,95883,154,40.69465,-73.95458,2,200,361,5,5,0.08,157
329,96471,66,40.68413,-73.96542,1,165,4,4,12,0.12,356
330,98663,12,40.74893,-73.99544,2,130,146,30,19,0.19,0
331,99070,65,40.79406,-73.94102,3,65,203,7,133,1.27,146
333,100002,12,40.85295,-73.93361,1,67,21,2,148,1.42,0
335,100186,44,40.66918,-73.99187,2,130,176,5,100,0.97,61
336,100368,12,40.7395,-74.00123,2,279,56,31,32,0.31,95
337,101053,111,40.71125,-73.95613,2,100,356,5,33,0.32,10
338,102995,157,40.78558,-73.9696,2,212,342,21,45,0.43,3
339,103161,111,40.71577,-73.96053,2,250,3,3,132,1.75,343
340,103311,111,40.73861,-73.95485,1,599,9,3,9,0.09,0
341,103806,12,40.72577,-73.98745,2,249,14,5,171,1.65,356
342,105469,109,40.58615,-73.81245,1,70,2,3,14,0.13,364
343,105510,111,40.67086,-73.94872,2,100,30,30,16,0.16,365
344,106363,12,40.82773,-73.95231,1,60,101,3,404,3.88,1
345,106647,66,40.68505,-73.95684,2,135,177,2,94,0.9,6
346,107630,111,40.72911,-73.95493,2,175,23,3,263,2.55,0
347,107895,157,40.77944,-73.98567,2,120,232,5,55,0.59,117
350,112359,73,40.78491,-73.9508,2,225,75,2,58,0.56,337
351,112435,165,40.69088,-73.97307,1,95,15,2,172,1.66,335
352,113265,175,40.67555,-73.95057,1,55,62,2,265,2.56,0
355,114229,106,40.71895,-73.99434,2,211,0,1,67,0.73,1
356,114969,49,40.75579,-73.96699,2,145,355,6,39,0.38,0
357,115535,65,40.82399,-73.95328,1,65,54,14,37,0.36,252
358,115678,65,40.81822,-73.94095,2,99,85,1,340,3.27,284
361,116940,111,40.67705,-73.94925,2,80,18,3,241,2.32,0
362,117425,111,40.69263,-73.99438,2,175,9,14,95,0.91,278
363,118061,111,40.68448,-73.92747,2,102,52,4,79,0.8,326
366,121687,111,40.72063,-73.95952,2,200,354,2,50,0.51,42
367,121861,111,40.67644,-73.98082,2,165,269,2,23,0.22,16
368,123784,65,40.80481,-73.94794,2,110,25,2,159,1.53,347
369,125053,174,40.72533,-73.99143,2,395,202,2,79,0.79,150
370,125163,111,40.68569,-73.93038,1,99,42,2,38,0.5,357
371,125594,111,40.64302,-73.97255,1,39,6,1,85,0.92,365
372,126443,174,40.72939,-73.98857,2,189,50,2,432,4.18,201
374,127387,44,40.66862,-73.9926,2,260,207,30,3,0.03,314
375,128975,12,40.81333,-73.94453,2,122,45,1,122,1.18,344
376,130439,120,40.82907,-73.94446,1,59,77,1,7,0.08,350
377,131154,89,40.72473,-73.95199,2,165,249,2,191,1.86,0
378,132516,13,40.70925,-73.85262,2,97,126,3,31,1.1,185
379,132570,12,40.73215,-74.00922,2,170,221,4,24,0.24,0
380,132661,115,40.75505,-73.99187,1,76,343,12,71,1.15,19
382,133025,49,40.7463,-73.97926,1,130,202,4,118,1.14,82
383,134934,126,40.71823,-73.95849,2,225,328,7,26,0.41,129
384,135393,111,40.651,-73.94886,1,50,213,2,282,2.75,154
385,135465,165,40.68626,-73.97598,2,170,53,3,98,0.99,160
390,139624,175,40.67456,-73.95151,2,64,310,21,74,0.74,52
391,140133,111,40.71363,-73.96019,2,249,18,3,166,1.63,225
393,140973,12,40.72274,-73.97581,2,185,22,2,75,0.73,0
394,141154,111,40.6858,-73.9828,2,110,179,3,251,2.48,256
395,141335,111,40.67535,-73.97654,2,650,7,1,35,0.39,355
397,141984,12,40.72094,-73.99706,2,175,55,3,72,0.7,332
399,144087,12,40.80473,-73.9532,2,259,8,8,20,0.19,365
405,148259,126,40.71541,-73.94144,2,451,6,2,78,0.88,358
406,148825,12,40.79765,-73.96245,2,150,93,2,208,2.24,317
408,149777,4,40.89747,-73.8639,2,69,28,1,219,2.6,344
409,150804,12,40.72008,-73.98404,2,250,362,4,26,0.26,89
412,151199,122,40.75725,-73.91098,1,129,40,2,443,4.42,0
413,151478,111,40.7102,-73.94495,1,98,246,2,8,0.08,97
415,152259,65,40.81156,-73.94571,1,55,18,3,122,1.19,337
416,152263,12,40.80497,-73.95016,2,300,37,2,222,2.22,288
418,153405,89,40.72937,-73.95671,2,125,311,2,120,1.19,8
419,153780,174,40.72587,-73.98438,1,175,70,3,182,1.78,314
420,154934,65,40.82426,-73.9463,1,75,0,7,38,0.4,339
421,157673,111,40.68101,-73.94081,2,72,102,31,88,0.87,116
422,158061,111,40.68669,-73.91989,1,165,26,1,27,0.26,365
423,158176,111,40.71534,-73.95914,2,140,356,5,124,1.29,0
425,158955,126,40.70867,-73.94284,2,139,137,2,408,4.03,266
426,159749,111,40.67963,-73.93908,1,88,115,1,72,0.73,252
427,159815,111,40.6798,-73.93908,1,80,108,1,46,0.46,326
428,159913,12,40.74346,-73.99882,1,150,16,2,47,1.83,344
429,160994,114,40.72972,-73.97995,2,200,26,2,113,1.13,97
432,161996,65,40.83096,-73.94633,2,295,41,3,240,2.34,299
433,162493,126,40.71323,-73.95745,2,450,364,3,37,0.72,2
434,162508,175,40.67212,-73.9506,2,130,228,7,31,0.35,4
436,163809,65,40.80523,-73.95139,2,198,141,5,48,0.47,108
437,163814,12,40.72636,-73.98917,2,99,14,2,306,3.03,295
439,164989,12,40.72351,-73.99683,1,140,166,1,75,0.74,0
440,165080,111,40.6809,-73.99233,2,500,364,7,7,0.07,0
441,165461,46,40.80525,-73.95916,1,75,150,5,60,0.59,313
445,166541,119,40.84468,-73.94303,1,75,31,2,37,0.36,318
449,168084,12,40.72578,-73.97879,2,190,329,3,167,1.72,0
450,168123,111,40.66085,-73.98537,2,105,272,28,106,1.05,0
459,170761,111,40.68768,-73.97611,1,85,187,2,47,0.69,0
460,172499,73,40.77938,-73.94874,2,250,20,365,26,0.26,0
461,173072,65,40.80827,-73.95329,3,49,97,3,186,4.47,345
462,173151,111,40.72901,-73.95812,1,91,56,3,255,2.51,0
464,173742,12,40.73476,-73.98452,2,400,31,2,110,1.12,332
465,174527,55,40.69055,-73.92357,2,150,273,2,11,0.38,32
466,174966,157,40.7735,-73.98697,2,2000,1,30,30,0.31,1
467,176135,111,40.67505,-73.95969,2,97,173,3,33,0.33,270
468,176653,174,40.72974,-73.98201,1,100,361,4,51,0.5,21
469,177421,89,40.72315,-73.95226,2,500,121,2,24,0.24,58
471,177606,80,40.74112,-73.97686,2,189,11,6,101,1.01,341
472,179670,106,40.72019,-73.98217,1,130,4,3,111,1.11,355
475,180507,122,40.75744,-73.92163,2,300,0,30,21,0.21,279
476,180792,107,40.75695,-73.9202,2,220,29,30,25,0.25,357
477,181972,12,40.8296,-73.94651,2,199,336,2,126,1.26,44
478,182069,65,40.79056,-73.9468,2,120,88,4,102,1.02,333
479,182177,71,40.86466,-73.85709,2,125,22,2,295,2.93,270
480,182649,111,40.71312,-73.96199,1,70,293,2,254,2.55,50
482,187566,154,40.69242,-73.95097,2,99,39,2,209,2.09,314
485,188661,138,40.68262,-73.97299,2,170,120,3,67,0.67,0
487,189135,146,40.76311,-73.99388,1,99,14,1,97,1.03,358
489,189732,111,40.67497,-73.87305,2,169,29,3,192,1.92,334
490,189787,111,40.66788,-73.94813,2,99,263,4,101,1.0,12
492,190542,154,40.68967,-73.95445,2,160,5,3,46,0.46,355
493,190968,138,40.67946,-73.96501,2,215,209,3,36,0.36,168
494,190974,112,40.66944,-73.98083,2,130,60,3,195,2.08,345
495,191075,174,40.72566,-73.97748,1,110,18,3,84,0.84,136
496,191610,12,40.74639,-74.00352,1,111,291,3,74,0.77,48
497,193105,146,40.7709,-73.99181,1,139,355,28,45,0.45,159
498,193333,126,40.71943,-73.95958,1,72,40,31,53,0.53,365
499,193393,63,40.74249,-73.92466,1,75,357,2,176,1.75,0
501,194154,12,40.7969,-73.96128,1,89,26,6,35,0.35,94
502,195123,119,40.83403,-73.94553,1,50,12,1,230,2.28,0
503,195233,68,40.65513,-73.95641,1,43,328,1,500,7.63,0
504,195240,111,40.65589,-73.95539,1,42,323,1,79,0.87,92
505,195578,111,40.70275,-73.94501,1,85,344,1,47,0.9,0
506,195989,111,40.67617,-73.98136,1,105,91,3,226,2.25,0
508,197155,115,40.76415,-73.99067,2,149,355,2,132,1.32,0
509,197753,120,40.83127,-73.94718,1,68,48,2,315,3.9,249
511,197942,154,40.68497,-73.95592,2,99,77,3,221,2.21,336
512,199195,12,40.82922,-73.94174,1,75,289,3,51,0.62,54
513,199312,126,40.71137,-73.94362,1,100,49,2,285,2.83,288
515,200955,12,40.73089,-73.98195,2,160,259,30,26,0.26,156
517,201992,112,40.6755,-73.97859,2,190,14,4,106,1.52,328
520,204065,66,40.68634,-73.96161,2,248,111,2,63,0.63,0
521,204833,126,40.7093,-73.9497,1,100,26,2,8,0.08,354
522,204959,76,40.713,-73.99752,1,95,289,3,189,1.92,74
523,205485,154,40.68186,-73.94113,2,145,26,3,132,1.31,339
524,205735,111,40.68364,-73.91076,1,41,39,2,62,0.63,339
525,205867,111,40.71893,-73.9428,2,120,179,4,94,1.01,307
527,206772,111,40.71413,-73.96596,2,195,29,4,35,0.36,330
528,206957,111,40.58422,-73.94079,2,70,275,4,129,1.28,85
531,208889,111,40.69025,-73.93323,2,145,120,3,45,0.45,0
532,209310,122,40.73826,-73.92458,1,50,206,1,276,2.93,0
